time,G(i),H_sun,T2m,WS10m,Int
20111130:0807,1003.52,49.91,21.53,1.38,0
20111130:0907,1031.91,53.41,23.17,1.38,0
20111130:1007,984.27,51.23,24.44,2.14,0
20111130:1107,853.88,44.17,25.07,2.97,0
20111130:1207,658.82,34.05,25.01,3.52,0
20111130:1307,411.33,22.24,24.26,3.79,0
20111130:1407,151.37,9.48,22.85,3.38,0
20111130:1507,0,0,20.61,2.48,0
20111130:1607,0,0,18.82,2,0
20111130:1707,0,0,16.77,1.45,0
20111130:1807,0,0,15.1,1.24,0
20111130:1907,0,0,13.65,1.38,0
20111130:2007,0,0,12.13,1.52,0
20111130:2107,0,0,10.65,1.72,0
20111130:2207,0,0,9.93,1.72,0
20111130:2307,0,0,9.06,1.79,0
20111201:0007,0,0,8.33,1.79,0
20111201:0107,0,0,8.03,1.79,0
20111201:0207,0,0,7.78,1.86,0
20111201:0307,0,0,7.63,1.93,0
20111201:0407,199.8,6.2,7.61,1.93,0
20111201:0507,501.88,19.1,11.72,1.45,0
20111201:0607,737.52,31.18,17.78,1.24,0
20111201:0707,916.07,41.78,20.4,0.76,0
20111201:0807,1026.33,49.73,22.35,0.97,0
20111201:0907,1054.76,53.25,23.86,1.72,0
20111201:1007,1000.78,51.11,24.92,2.41,0
20111201:1107,863.64,44.1,25.46,2.97,0
20111201:1207,668.6,34.02,25.39,3.31,0
20111201:1307,428.82,22.24,24.73,3.59,0
20111201:1407,167.04,9.51,23.35,3.1,0
20111201:1507,0,0,21.07,2.28,0
20111201:1607,0,0,19.34,1.79,0
20111201:1707,0,0,17.16,1.38,0
20111201:1807,0,0,15.69,1.31,0
20111201:1907,0,0,14.63,1.31,0
20111201:2007,0,0,13.13,1.52,0
20111201:2107,0,0,11.94,1.59,0
20111201:2207,0,0,10.8,1.66,0
20111201:2307,0,0,10.82,1.59,0
20111202:0007,0,0,10.14,1.79,0
20111202:0107,0,0,9.76,1.86,0
20111202:0207,0,0,9.22,2,0
20111202:0307,0,0,8.91,2,0
20111202:0407,192.54,6.07,8.87,2,0
20111202:0507,490.99,18.96,12.06,1.59,0
20111202:0607,735.16,31.02,17.76,1.38,0
20111202:0707,920.24,41.61,20.61,1.45,0
20111202:0807,1024.03,49.56,22.75,1.24,0
20111202:0907,1053.72,53.09,24.29,0.76,0
20111202:1007,1006.44,51,25.35,0.97,0
20111202:1107,874.4,44.04,26.07,1.79,0
20111202:1207,677.84,34,26.19,2.41,0
20111202:1307,433.69,22.25,25.72,2.83,0
20111202:1407,167.53,9.53,24.43,2.69,0
20111202:1507,0,0,22.19,2.28,0
20111202:1607,0,0,20.32,2,0
20111202:1707,0,0,18.19,1.52,0
20111202:1807,0,0,16.9,1.24,0
20111202:1907,0,0,15.92,1.24,0
20111202:2007,0,0,14.9,1.31,0
20111202:2107,0,0,14.1,1.45,0
20111202:2207,0,0,13.09,1.52,0
20111202:2307,0,0,13.24,1.59,0
20111203:0007,0,0,13.32,1.72,0
20111203:0107,0,0,13.19,1.86,0
20111203:0207,0,0,12.92,1.93,0
20111203:0307,0,0,12.96,2.07,0
20111203:0407,188.64,5.93,12.98,2.07,0
20111203:0507,484.42,18.81,14.46,2.14,0
20111203:0607,733.77,30.86,17.74,2.07,0
20111203:0707,912.74,41.44,21.05,1.93,0
20111203:0807,1022.95,49.39,23.21,1.45,0
20111203:0907,1052.7,52.94,24.64,1.17,0
20111203:1007,1006.44,50.89,25.77,1.38,0
20111203:1107,875.49,43.98,26.42,1.79,0
20111203:1207,678.87,33.98,26.31,2.07,0
20111203:1307,437.4,22.26,25.86,2.34,0
20111203:1407,166.17,9.57,24.61,2.34,0
20111203:1507,0,0,22.63,1.93,0
20111203:1607,0,0,20.77,2,0
20111203:1707,0,0,19.08,1.93,0
20111203:1807,0,0,17.45,1.93,0
20111203:1907,0,0,16.27,1.93,0
20111203:2007,0,0,14.9,2,0
20111203:2107,0,0,13.92,2.07,0
20111203:2207,0,0,13.48,2.14,0
20111203:2307,0,0,13.3,2.14,0
20111204:0007,0,0,13.56,2.14,0
20111204:0107,0,0,13.46,2.21,0
20111204:0207,0,0,13.27,2.28,0
20111204:0307,0,0,12.98,2.41,0
20111204:0407,180.82,5.8,12.83,2.41,0
20111204:0507,486.18,18.67,14.51,2.62,0
20111204:0607,725.61,30.71,18.05,2.76,0
20111204:0707,911.44,41.28,21.34,3.17,0
20111204:0807,1021.82,49.22,23.6,3.1,0
20111204:0907,1051.54,52.8,25.15,2.48,0
20111204:1007,999.81,50.79,26.11,2,0
20111204:1107,864.65,43.93,26.6,1.45,0
20111204:1207,670.39,33.97,26.68,1.31,0
20111204:1307,432.38,22.27,26.25,1.52,0
20111204:1407,167.68,9.6,25.16,1.86,0
20111204:1507,0,0,23.08,1.93,0
20111204:1607,0,0,20.91,2.14,0
20111204:1707,0,0,19.06,2.07,0
20111204:1807,0,0,17.55,2,0
20111204:1907,0,0,16.36,2.14,0
20111204:2007,0,0,15.38,2.14,0
20111204:2107,0,0,14.48,2.21,0
20111204:2207,0,0,13.87,2.28,0
20111204:2307,0,0,13.3,2.28,0
20111205:0007,0,0,13.26,2.21,0
20111205:0107,0,0,12.9,2.28,0
20111205:0207,0,0,12.64,2.34,0
20111205:0307,0,0,12.32,2.41,0
20111205:0407,167,5.67,12.08,2.34,0
20111205:0507,487.92,18.53,13.98,2.34,0
20111205:0607,734.21,30.56,18.4,2.34,0
20111205:0707,915.51,41.12,21.79,2.62,0
20111205:0807,1020.63,49.06,24.25,2.83,0
20111205:0907,1051.48,52.66,26.03,2.21,0
20111205:1007,999.76,50.7,27.19,1.31,0
20111205:1107,869.93,43.88,27.81,0.34,0
20111205:1207,671.29,33.96,27.94,0.69,0
20111205:1307,434.35,22.29,27.6,1.52,0
20111205:1407,166.19,9.64,26.4,2,0
20111205:1507,0,0,24.13,2.14,0
20111205:1607,0,0,21.97,2.07,0
20111205:1707,0,0,20.34,1.72,0
20111205:1807,0,0,18.66,1.38,0
20111205:1907,0,0,18.01,1.72,0
20111205:2007,0,0,16.96,1.86,0
20111205:2107,0,0,16.36,2.14,0
20111205:2207,0,0,15.51,2.14,0
20111205:2307,0,0,14.99,2.14,0
20111206:0007,0,0,14.27,2.21,0
20111206:0107,0,0,13.78,2.21,0
20111206:0207,0,0,13.48,2.21,0
20111206:0307,0,0,13.17,2.34,0
20111206:0407,152.55,5.54,12.93,2.34,0
20111206:0507,473.51,18.39,14.14,2.28,0
20111206:0607,721.73,30.41,18.46,2.21,0
20111206:0707,914.28,40.96,21.89,2.34,0
20111206:0807,1019.38,48.91,24.2,2.34,0
20111206:0907,1050.29,52.53,25.77,1.72,0
20111206:1007,999.64,50.61,26.8,1.1,0
20111206:1107,870.91,43.84,27.42,0.48,0
20111206:1207,676.33,33.96,27.59,0.62,0
20111206:1307,435.02,22.32,27.36,1.31,0
20111206:1407,174.94,9.69,26.44,1.79,0
20111206:1507,0,0,24.44,1.86,0
20111206:1607,0,0,22.28,2.07,0
20111206:1707,0,0,20.53,1.86,0
20111206:1807,0,0,18.88,1.59,0
20111206:1907,0,0,17.75,1.66,0
20111206:2007,0,0,17.29,1.79,0
20111206:2107,0,0,16.8,2.07,0
20111206:2207,0,0,16.31,2.21,0
20111206:2307,0,0,15.73,2.21,0
20111207:0007,0,0,15.34,2.28,0
20111207:0107,0,0,14.94,2.34,0
20111207:0207,0,0,14.53,2.34,0
20111207:0307,0,0,14.28,2.34,0
20111207:0407,147.37,5.42,13.88,2.28,0
20111207:0507,479.96,18.25,15.41,2.34,0
20111207:0607,725.85,30.26,19.15,2.34,0
20111207:0707,911.62,40.81,22.42,2.76,0
20111207:0807,1018.19,48.76,24.59,2.76,0
20111207:0907,1050.12,52.41,26.06,2.14,0
20111207:1007,999.47,50.53,27.07,1.38,0
20111207:1107,871.85,43.81,27.67,0.62,0
20111207:1207,672.92,33.96,27.79,0.28,0
20111207:1307,436.89,22.35,27.52,0.76,0
20111207:1407,169.7,9.74,26.58,1.31,0
20111207:1507,0,0,24.5,1.66,0
20111207:1607,0,0,22.38,2,0
20111207:1707,0,0,20.49,1.93,0
20111207:1807,0,0,18.78,1.93,0
20111207:1907,0,0,17.73,2,0
20111207:2007,0,0,16.63,2.14,0
20111207:2107,0,0,15.98,2.14,0
20111207:2207,0,0,15.21,2.21,0
20111207:2307,0,0,14.55,2.28,0
20111208:0007,0,0,13.95,2.28,0
20111208:0107,0,0,13.49,2.34,0
20111208:0207,0,0,13.52,2.34,0
20111208:0307,0,0,12.74,2.41,0
20111208:0407,148.3,5.29,12.45,2.41,0
20111208:0507,473.44,18.12,14.59,2.41,0
20111208:0607,723.16,30.12,18.48,2.48,0
20111208:0707,903.89,40.67,21.63,3.45,0
20111208:0807,1016.82,48.62,23.85,3.52,0
20111208:0907,1048.81,52.29,25.53,3.1,0
20111208:1007,992.5,50.46,26.61,2.48,0
20111208:1107,866.11,43.78,27.22,1.93,0
20111208:1207,674.87,33.97,27.39,1.45,0
20111208:1307,434.48,22.38,27.15,1.1,0
20111208:1407,169.18,9.79,26.35,0.55,0
20111208:1507,0,0,24.52,0.34,0
20111208:1607,0,0,21.41,1.38,0
20111208:1707,0,0,19.01,2,0
20111208:1807,0,0,17.38,2.21,0
20111208:1907,0,0,16.64,2.48,0
20111208:2007,0,0,15.68,2.41,0
20111208:2107,0,0,14.81,2.48,0
20111208:2207,0,0,14.46,2.69,0
20111208:2307,0,0,14.11,2.69,0
20111209:0007,0,0,13.66,2.69,0
20111209:0107,0,0,13.42,2.69,0
20111209:0207,0,0,13.1,2.69,0
20111209:0307,0,0,12.56,2.69,0
20111209:0407,158.19,5.16,12.35,2.76,0
20111209:0507,477.97,17.98,14.1,2.83,0
20111209:0607,715.86,29.98,17.88,3.31,0
20111209:0707,908.86,40.52,21.06,4.21,0
20111209:0807,1022.72,48.48,23.31,4.14,0
20111209:0907,1048.6,52.18,24.99,3.66,0
20111209:1007,998.95,50.4,26.19,2.97,0
20111209:1107,866.92,43.76,26.86,2.28,0
20111209:1207,679.78,33.98,27.09,1.93,0
20111209:1307,439.21,22.42,26.87,1.66,0
20111209:1407,174.55,9.84,26.04,1.1,0
20111209:1507,0,0,24.2,0.41,0
20111209:1607,0,0,22.01,0.76,0
20111209:1707,0,0,18.75,2.07,0
20111209:1807,0,0,17.78,2.28,0
20111209:1907,0,0,16.75,2.28,0
20111209:2007,0,0,15.63,2.21,0
20111209:2107,0,0,14.73,2.28,0
20111209:2207,0,0,14.11,2.28,0
20111209:2307,0,0,13.43,2.34,0
20111210:0007,0,0,13.03,2.41,0
20111210:0107,0,0,12.73,2.34,0
20111210:0207,0,0,12.45,2.34,0
20111210:0307,0,0,12.25,2.34,0
20111210:0407,131.92,5.04,12.37,2.34,0
20111210:0507,454.99,17.85,14.08,2.28,0
20111210:0607,708.39,29.84,17.57,2.41,0
20111210:0707,900.97,40.39,21,2.83,0
20111210:0807,1015.09,48.35,23.22,2.55,0
20111210:0907,1055.35,52.08,24.67,1.59,0
20111210:1007,1005.4,50.34,25.7,0.48,0
20111210:1107,878.55,43.75,26.3,0.55,0
20111210:1207,676.16,34,26.57,1.24,0
20111210:1307,410.85,22.46,26.34,1.72,0
20111210:1407,189.57,9.9,25.4,1.79,0
20111210:1507,0,0,23.48,1.52,0
20111210:1607,0,0,21.44,1.79,0
20111210:1707,0,0,19.85,1.93,0
20111210:1807,0,0,18.35,2,0
20111210:1907,0,0,17.15,2,0
20111210:2007,0,0,16.46,1.93,0
20111210:2107,0,0,15.35,2,0
20111210:2207,0,0,14.82,2.07,0
20111210:2307,0,0,14.13,2.14,0
20111211:0007,0,0,13.53,2.14,0
20111211:0107,0,0,13.08,2.21,0
20111211:0207,0,0,12.66,2.21,0
20111211:0307,0,0,12.32,2.14,0
20111211:0407,125.93,4.91,12.22,2.21,0
20111211:0507,452.94,17.72,14.45,2.07,0
20111211:0607,705.48,29.71,18.24,2.21,0
20111211:0707,905.85,40.25,21.01,2.9,0
20111211:0807,1021.01,48.23,23.18,2.76,0
20111211:0907,1048.01,51.98,24.65,2.14,0
20111211:1007,953.51,50.29,25.65,1.59,0
20111211:1107,582.02,43.74,26.16,1.03,0
20111211:1207,173.04,34.03,26.28,0.76,0
20111211:1307,35,22.51,26.06,0.62,0
20111211:1407,79.29,9.97,25.15,1.03,0
20111211:1507,0,0,23.44,1.24,0
20111211:1607,0,0,21.35,1.72,0
20111211:1707,0,0,19.55,1.86,0
20111211:1807,0,0,17.96,1.93,0
20111211:1907,0,0,16.84,2,0
20111211:2007,0,0,15.69,2.07,0
20111211:2107,0,0,14.84,2.14,0
20111211:2207,0,0,14.35,2.21,0
20111211:2307,0,0,14.03,2.21,0
20111212:0007,0,0,13.7,2.28,0
20111212:0107,0,0,13.23,2.34,0
20111212:0207,0,0,12.87,2.41,0
20111212:0307,0,0,12.32,2.55,0
20111212:0407,129.44,4.79,12.55,2.55,0
20111212:0507,459.47,17.6,14.05,2.62,0
20111212:0607,709.71,29.58,17.8,2.55,0
20111212:0707,897.81,40.13,20.91,3.03,0
20111212:0807,1005.93,48.11,23.08,3.1,0
20111212:0907,1040.53,51.89,24.58,2.48,0
20111212:1007,1005.76,50.24,25.56,1.72,0
20111212:1107,874.43,43.74,26.14,0.97,0
20111212:1207,674.27,34.06,26.32,0.34,0
20111212:1307,245.53,22.56,26.07,0.48,0
20111212:1407,50.1,10.03,25.35,0.97,0
20111212:1507,0,0,23.62,1.17,0
20111212:1607,0,0,21.42,1.72,0
20111212:1707,0,0,19.37,1.86,0
20111212:1807,0,0,17.74,2.07,0
20111212:1907,0,0,16.59,2.21,0
20111212:2007,0,0,15.53,2.21,0
20111212:2107,0,0,15.21,2.28,0
20111212:2207,0,0,14.51,2.34,0
20111212:2307,0,0,13.85,2.34,0
20111213:0007,0,0,13.5,2.34,0
20111213:0107,0,0,13.15,2.34,0
20111213:0207,0,0,12.7,2.41,0
20111213:0307,0,0,12.34,2.41,0
20111213:0407,114.86,4.67,12.18,2.48,0
20111213:0507,447.91,17.47,13.64,2.48,0
20111213:0607,702,29.46,17.12,2.76,0
20111213:0707,896.13,40,20.24,3.38,0
20111213:0807,991.67,48,22.59,3.31,0
20111213:0907,1052.97,51.81,24.2,2.55,0
20111213:1007,999.63,50.21,25.24,1.66,0
20111213:1107,864,43.75,25.84,0.76,0
20111213:1207,613.06,34.09,26.03,0.34,0
20111213:1307,124.76,22.61,25.74,0.41,0
20111213:1407,17.5,10.1,24.96,0.69,0
20111213:1507,0,0,23.37,1.03,0
20111213:1607,0,0,21.39,1.72,0
20111213:1707,0,0,19.49,1.86,0
20111213:1807,0,0,17.91,2,0
20111213:1907,0,0,16.95,2.14,0
20111213:2007,0,0,15.74,2.21,0
20111213:2107,0,0,14.81,2.28,0
20111213:2207,0,0,14.22,2.28,0
20111213:2307,0,0,13.63,2.41,0
20111214:0007,0,0,13.21,2.41,0
20111214:0107,0,0,12.67,2.48,0
20111214:0207,0,0,12.27,2.48,0
20111214:0307,0,0,11.98,2.41,0
20111214:0407,108.16,4.55,11.77,2.41,0
20111214:0507,442.52,17.35,13.56,2.41,0
20111214:0607,706.14,29.33,17.54,2.48,0
20111214:0707,894.39,39.88,21.06,2.62,0
20111214:0807,1011.24,47.9,23.34,2.62,0
20111214:0907,1046.66,51.74,24.85,1.79,0
20111214:1007,1005.87,50.18,25.84,0.83,0
20111214:1107,882.16,43.76,26.45,1.03,0
20111214:1207,663.48,34.13,26.62,1.72,0
20111214:1307,422.92,22.67,26.54,2.28,0
20111214:1407,184.81,10.18,25.61,2.28,0
20111214:1507,0,0,23.75,1.72,0
20111214:1607,0,0,21.87,1.86,0
20111214:1707,0,0,20.02,1.93,0
20111214:1807,0,0,18.27,1.86,0
20111214:1907,0,0,16.92,2,0
20111214:2007,0,0,15.83,2,0
20111214:2107,0,0,14.91,2,0
20111214:2207,0,0,13.85,2.07,0
20111214:2307,0,0,13.03,2,0
20111215:0007,0,0,12.7,2,0
20111215:0107,0,0,12.42,1.93,0
20111215:0207,0,0,12.09,1.93,0
20111215:0307,0,0,11.88,1.93,0
20111215:0407,88.12,4.44,11.58,1.86,0
20111215:0507,427.25,17.23,14.54,1.45,0
20111215:0607,692.78,29.22,19.3,1.38,0
20111215:0707,887.26,39.77,21.79,0.9,0
20111215:0807,1009.44,47.8,23.62,0.21,0
20111215:0907,1046.08,51.67,25,0.9,0
20111215:1007,987.17,50.16,26.06,1.93,0
20111215:1107,814.55,43.78,26.46,2.76,0
20111215:1207,578.35,34.18,26.36,3.1,0
20111215:1307,412.17,22.74,25.85,3.24,0
20111215:1407,199.27,10.25,24.88,2.97,0
20111215:1507,0,0,23.11,2.28,0
20111215:1607,0,0,21.5,2.14,0
20111215:1707,0,0,19.9,1.86,0
20111215:1807,0,0,18.35,1.59,0
20111215:1907,0,0,17.07,1.31,0
20111215:2007,0,0,15.96,1.24,0
20111215:2107,0,0,15.17,1.31,0
20111215:2207,0,0,13.9,1.52,0
20111215:2307,0,0,13.4,1.59,0
20111216:0007,0,0,12.78,1.66,0
20111216:0107,0,0,12.32,1.59,0
20111216:0207,0,0,11.92,1.52,0
20111216:0307,0,0,11.84,1.52,0
20111216:0407,104.74,4.32,11.64,1.66,0
20111216:0507,433.25,17.12,14.48,1.31,0
20111216:0607,696.58,29.1,19.35,1.03,0
20111216:0707,885.55,39.66,22,1.03,0
20111216:0807,1008.88,47.71,23.84,0.48,0
20111216:0907,1045.44,51.62,25.18,0.41,0
20111216:1007,1001.33,50.14,26.24,1.52,0
20111216:1107,866.56,43.8,26.84,2.69,0
20111216:1207,227.32,34.23,26.09,3.38,0
20111216:1307,476.52,22.81,25.47,3.72,0
20111216:1407,200.59,10.33,24.35,3.38,0
20111216:1507,0,0,22.76,2.69,0
20111216:1607,0,0,21.03,2.07,0
20111216:1707,0,0,19.88,1.66,0
20111216:1807,0,0,18.69,1.38,0
20111216:1907,0,0,17.38,1.45,0
20111216:2007,0,0,16.42,1.45,0
20111216:2107,0,0,15.73,1.38,0
20111216:2207,0,0,15.14,1.38,0
20111216:2307,0,0,14.45,1.52,0
20111217:0007,0,0,14.36,1.59,0
20111217:0107,0,0,13.91,1.72,0
20111217:0207,0,0,13.25,1.79,0
20111217:0307,0,0,13,1.79,0
20111217:0407,121.9,4.21,12.6,1.93,0
20111217:0507,422.23,17,14.34,1.66,0
20111217:0607,694.55,28.99,18.79,1.31,0
20111217:0707,878.2,39.56,21.35,0.9,0
20111217:0807,1008.25,47.62,23.25,0,0
20111217:0907,1038.85,51.56,24.72,1.24,0
20111217:1007,1007.4,50.13,25.79,2.41,0
20111217:1107,855.77,43.83,26.21,3.24,0
20111217:1207,694.67,34.29,25.96,3.52,0
20111217:1307,417.86,22.88,25.39,3.59,0
20111217:1407,189.99,10.42,24.3,3.24,0
20111217:1507,0,0,22.4,2.48,0
20111217:1607,0,0,20.74,2,0
20111217:1707,0,0,19.13,1.72,0
20111217:1807,0,0,17.27,1.59,0
20111217:1907,0,0,16.48,1.45,0
20111217:2007,0,0,15.5,1.52,0
20111217:2107,0,0,15.16,1.59,0
20111217:2207,0,0,14.48,1.66,0
20111217:2307,0,0,14.07,1.66,0
20111218:0007,0,0,13.63,1.72,0
20111218:0107,0,0,12.82,1.79,0
20111218:0207,0,0,12.29,1.86,0
20111218:0307,0,0,11.7,1.79,0
20111218:0407,79.41,4.09,11.19,1.79,0
20111218:0507,360.61,16.89,13.75,1.38,0
20111218:0607,621.3,28.88,18.98,1.24,0
20111218:0707,901.48,39.46,21.25,1.52,0
20111218:0807,840.51,47.55,23.1,1.17,0
20111218:0907,977.69,51.52,24.53,0.41,0
20111218:1007,1002.15,50.13,25.49,0.55,0
20111218:1107,880.56,43.87,26.08,1.45,0
20111218:1207,696.05,34.35,26.17,2.14,0
20111218:1307,453.87,22.96,25.69,2.62,0
20111218:1407,191.24,10.51,24.77,2.83,0
20111218:1507,0,0,22.89,2.55,0
20111218:1607,0,0,21.16,2.28,0
20111218:1707,0,0,19.92,1.79,0
20111218:1807,0,0,18.59,1.52,0
20111218:1907,0,0,17.09,1.52,0
20111218:2007,0,0,16.43,1.52,0
20111218:2107,0,0,15.47,1.66,0
20111218:2207,0,0,15.18,1.72,0
20111218:2307,0,0,14.91,1.79,0
20111219:0007,0,0,14.71,1.86,0
20111219:0107,0,0,14.43,2,0
20111219:0207,0,0,13.94,2,0
20111219:0307,0,0,13.73,2.07,0
20111219:0407,80.61,3.98,13.25,2.14,0
20111219:0507,426.2,16.79,14.65,2.21,0
20111219:0607,684.76,28.78,18.41,2.21,0
20111219:0707,880.9,39.37,21.23,2.83,0
20111219:0807,1006.79,47.47,23.25,2.83,0
20111219:0907,1045.63,51.48,24.75,2.34,0
20111219:1007,1008.1,50.14,25.82,1.86,0
20111219:1107,886.37,43.91,26.45,1.31,0
20111219:1207,693.14,34.41,26.67,0.9,0
20111219:1307,468.3,23.04,26.53,0.48,0
20111219:1407,188.41,10.6,25.86,0,0
20111219:1507,0,0,24.22,0.69,0
20111219:1607,0,0,21.89,1.52,0
20111219:1707,0,0,19.72,1.79,0
20111219:1807,0,0,18.11,1.86,0
20111219:1907,0,0,17.02,2,0
20111219:2007,0,0,15.72,1.93,0
20111219:2107,0,0,14.74,1.93,0
20111219:2207,0,0,13.97,2.07,0
20111219:2307,0,0,13.26,2.14,0
20111220:0007,0,0,12.6,2.14,0
20111220:0107,0,0,12.17,2.14,0
20111220:0207,0,0,11.68,2.21,0
20111220:0307,0,0,11.48,2.28,0
20111220:0407,95.02,3.88,11.21,2.28,0
20111220:0507,435.9,16.68,13,2.28,0
20111220:0607,688.35,28.68,17.45,2.21,0
20111220:0707,880.15,39.28,20.86,2.83,0
20111220:0807,1005.97,47.41,23.12,2.9,0
20111220:0907,1045.99,51.46,24.71,2.28,0
20111220:1007,1002.71,50.15,25.84,1.66,0
20111220:1107,882.23,43.96,26.54,1.31,0
20111220:1207,704,34.49,26.84,1.17,0
20111220:1307,458.53,23.12,26.69,1.03,0
20111220:1407,190.72,10.69,26,0.9,0
20111220:1507,0,0,24.32,0.76,0
20111220:1607,0,0,21.57,1.31,0
20111220:1707,0,0,19.17,1.79,0
20111220:1807,0,0,17.81,2,0
20111220:1907,0,0,16.43,2,0
20111220:2007,0,0,15.28,2.07,0
20111220:2107,0,0,14.56,2.07,0
20111220:2207,0,0,13.98,2.21,0
20111220:2307,0,0,13.05,2.21,0
20111221:0007,0,0,12.16,2.14,0
20111221:0107,0,0,11.45,2.14,0
20111221:0207,0,0,11.01,2.14,0
20111221:0307,0,0,10.63,2.21,0
20111221:0407,80.79,3.77,10.44,2.21,0
20111221:0507,429.96,16.58,13.04,1.86,0
20111221:0607,687.61,28.59,18.16,1.93,0
20111221:0707,879.32,39.2,21.31,1.79,0
20111221:0807,1005.07,47.35,23.39,1.59,0
20111221:0907,1045.02,51.43,24.85,0.97,0
20111221:1007,1004.04,50.18,25.94,0.41,0
20111221:1107,883.53,44.01,26.55,0.21,0
20111221:1207,700.99,34.56,26.79,0.62,0
20111221:1307,459.8,23.21,26.55,1.03,0
20111221:1407,194.83,10.79,25.72,1.24,0
20111221:1507,0,0,23.9,1.03,0
20111221:1607,0,0,21.63,1.59,0
20111221:1707,0,0,19.3,1.93,0
20111221:1807,0,0,17.35,2.07,0
20111221:1907,0,0,15.94,2.07,0
20111221:2007,0,0,14.55,2.14,0
20111221:2107,0,0,13.3,2.14,0
20111221:2207,0,0,12.53,2.14,0
20111221:2307,0,0,12.07,2.14,0
20111222:0007,0,0,11.69,2.14,0
20111222:0107,0,0,11.26,2.14,0
20111222:0207,0,0,10.92,2.21,0
20111222:0307,0,0,10.58,2.28,0
20111222:0407,75.96,3.67,10.3,2.28,0
20111222:0507,423.86,16.48,12.99,1.93,0
20111222:0607,685.25,28.49,18.34,1.93,0
20111222:0707,878.44,39.12,21.65,1.72,0
20111222:0807,1005.42,47.3,23.73,1.17,0
20111222:0907,1045.25,51.42,25.26,0.28,0
20111222:1007,1011.04,50.21,26.33,0.55,0
20111222:1107,890.21,44.07,27.07,1.45,0
20111222:1207,707.57,34.64,27.33,2.07,0
20111222:1307,462,23.3,27.06,2.34,0
20111222:1407,201.37,10.88,26.09,2.28,0
20111222:1507,0,0,24.08,1.66,0
20111222:1607,0,0,22.04,1.66,0
20111222:1707,0,0,19.59,1.66,0
20111222:1807,0,0,17.62,1.66,0
20111222:1907,0,0,15.58,1.86,0
20111222:2007,0,0,14.23,2,0
20111222:2107,0,0,13.15,2,0
20111222:2207,0,0,12.36,2,0
20111222:2307,0,0,11.58,1.86,0
20111223:0007,0,0,10.97,1.86,0
20111223:0107,0,0,10.5,1.86,0
20111223:0207,0,0,10.03,1.86,0
20111223:0307,0,0,9.61,1.86,0
20111223:0407,86.12,3.57,9.28,1.86,0
20111223:0507,429.57,16.39,12.34,1.38,0
20111223:0607,688.93,28.41,18.76,1.31,0
20111223:0707,882.88,39.05,21.78,1.17,0
20111223:0807,1004.39,47.25,23.79,0.76,0
20111223:0907,1045.41,51.41,25.28,0.69,0
20111223:1007,1011.17,50.24,26.4,1.31,0
20111223:1107,885.96,44.14,27.08,2,0
20111223:1207,704.45,34.73,27.24,2.41,0
20111223:1307,467.25,23.4,26.87,2.76,0
20111223:1407,202.05,10.99,25.8,2.83,0
20111223:1507,0,0,23.72,2.28,0
20111223:1607,0,0,21.87,2,0
20111223:1707,0,0,20,1.79,0
20111223:1807,0,0,17.96,1.59,0
20111223:1907,0,0,16.15,1.66,0
20111223:2007,0,0,14.71,1.72,0
20111223:2107,0,0,13.77,1.72,0
20111223:2207,0,0,12.91,1.72,0
20111223:2307,0,0,12.3,1.66,0
20111224:0007,0,0,11.93,1.66,0
20111224:0107,0,0,11.55,1.72,0
20111224:0207,0,0,11.2,1.79,0
20111224:0307,0,0,10.78,1.86,0
20111224:0407,81.24,3.47,10.65,1.93,0
20111224:0507,431.92,16.29,13.27,1.59,0
20111224:0607,682.16,28.33,18.84,1.31,0
20111224:0707,881.86,38.98,21.66,0.9,0
20111224:0807,1003.42,47.21,23.73,0.21,0
20111224:0907,1059.65,51.41,25.35,1.1,0
20111224:1007,1012.31,50.28,26.53,2.07,0
20111224:1107,899.11,44.22,27.15,2.76,0
20111224:1207,710.9,34.82,27.21,3.1,0
20111224:1307,466.51,23.5,26.76,3.24,0
20111224:1407,204.82,11.09,25.57,3.03,0
20111224:1507,0,0,23.46,2.28,0
20111224:1607,0,0,21.64,1.86,0
20111224:1707,0,0,19.67,1.59,0
20111224:1807,0,0,17.77,1.45,0
20111224:1907,0,0,16.74,1.45,0
20111224:2007,0,0,15.85,1.52,0
20111224:2107,0,0,15.77,1.52,0
20111224:2207,0,0,15.59,1.38,0
20111224:2307,0,0,14.58,1.38,0
20111225:0007,0,0,13.9,1.45,0
20111225:0107,0,0,13.44,1.52,0
20111225:0207,0,0,13.48,1.59,0
20111225:0307,0,0,12.81,1.79,0
20111225:0407,77.35,3.37,12.52,1.86,0
20111225:0507,425.64,16.2,14.24,1.72,0
20111225:0607,685.43,28.25,18.97,1.52,0
20111225:0707,880.77,38.92,21.92,1.66,0
20111225:0807,1003.44,47.18,24.03,1.52,0
20111225:0907,1045.52,51.42,25.49,0.76,0
20111225:1007,1006.69,50.33,26.53,0.28,0
20111225:1107,889.26,44.3,27.11,0.83,0
20111225:1207,708.79,34.92,27.15,1.38,0
20111225:1307,471.64,23.61,26.94,1.93,0
20111225:1407,206.23,11.2,25.96,2.28,0
20111225:1507,0,0,24.04,2.14,0
20111225:1607,0,0,21.94,2.14,0
20111225:1707,0,0,20.62,1.86,0
20111225:1807,0,0,19.38,1.45,0
20111225:1907,0,0,18.5,1.66,0
20111225:2007,0,0,17.74,1.86,0
20111225:2107,0,0,16.78,1.86,0
